按类别分类的播放列表
类别	频道	播放列表
汽车	21	https://iptv-org.github.io/iptv/categories/auto.m3u
动画片	24	https://iptv-org.github.io/iptv/categories/animation.m3u
商业	65	https://iptv-org.github.io/iptv/categories/business.m3u
经典的	70	https://iptv-org.github.io/iptv/categories/classic.m3u
喜剧	87	https://iptv-org.github.io/iptv/categories/comedy.m3u
烹饪	47	https://iptv-org.github.io/iptv/categories/cooking.m3u
文化	14	https://iptv-org.github.io/iptv/categories/culture.m3u
记录	58	https://iptv-org.github.io/iptv/categories/documentary.m3u
教育	18	https://iptv-org.github.io/iptv/categories/education.m3u
娱乐	224	https://iptv-org.github.io/iptv/categories/entertainment.m3u
家庭	51	https://iptv-org.github.io/iptv/categories/family.m3u
一般的	312	https://iptv-org.github.io/iptv/categories/general.m3u
孩子们	205	https://iptv-org.github.io/iptv/categories/kids.m3u
立法	62	https://iptv-org.github.io/iptv/categories/legislative.m3u
生活方式	86	https://iptv-org.github.io/iptv/categories/lifestyle.m3u
当地的	531	https://iptv-org.github.io/iptv/categories/local.m3u
电影	286	https://iptv-org.github.io/iptv/categories/movies.m3u
音乐	395	https://iptv-org.github.io/iptv/categories/music.m3u
消息	458	https://iptv-org.github.io/iptv/categories/news.m3u
户外的	39	https://iptv-org.github.io/iptv/categories/outdoor.m3u
放松	19	https://iptv-org.github.io/iptv/categories/relax.m3u
宗教的	267	https://iptv-org.github.io/iptv/categories/religious.m3u
系列	234	https://iptv-org.github.io/iptv/categories/series.m3u
科学	15	https://iptv-org.github.io/iptv/categories/science.m3u
店铺	46	https://iptv-org.github.io/iptv/categories/shop.m3u
运动的	243	https://iptv-org.github.io/iptv/categories/sports.m3u
旅行	21	https://iptv-org.github.io/iptv/categories/travel.m3u
天气	16	https://iptv-org.github.io/iptv/categories/weather.m3u
XXX	39	https://iptv-org.github.io/iptv/categories/xxx.m3u
其他	4283	https://iptv-org.github.io/iptv/categories/other.m3u
语	频道	播放列表
阿寒	2	https://iptv-org.github.io/iptv/languages/aka.m3u
阿尔巴尼亚语	31	https://iptv-org.github.io/iptv/languages/sqi.m3u
阿姆哈拉语	1	https://iptv-org.github.io/iptv/languages/amh.m3u
阿拉伯	354	https://iptv-org.github.io/iptv/languages/ara.m3u
亚美尼亚语	25	https://iptv-org.github.io/iptv/languages/hye.m3u
亚述新亚拉姆语	1	https://iptv-org.github.io/iptv/languages/aii.m3u
阿塞拜疆语	10	https://iptv-org.github.io/iptv/languages/aze.m3u
巴什基尔	3	https://iptv-org.github.io/iptv/languages/bak.m3u
孟加拉	4	https://iptv-org.github.io/iptv/languages/ben.m3u
博杰普里	2	https://iptv-org.github.io/iptv/languages/bho.m3u
波斯尼亚语	10	https://iptv-org.github.io/iptv/languages/bos.m3u
保加利亚语	7	https://iptv-org.github.io/iptv/languages/bul.m3u
缅甸语	0	https://iptv-org.github.io/iptv/languages/mya.m3u
加泰罗尼亚语	14	https://iptv-org.github.io/iptv/languages/cat.m3u
中国人	597	https://iptv-org.github.io/iptv/languages/zho.m3u
克罗地亚语	10	https://iptv-org.github.io/iptv/languages/hrv.m3u
捷克语	18	https://iptv-org.github.io/iptv/languages/ces.m3u
丹麦语	4	https://iptv-org.github.io/iptv/languages/dan.m3u
